,ticker,data,abertura,maximo,minimo,medio,fechamento,volume
1982,RSUL4,2023-06-07,61.72397992,63.0382918,61.72397992,62.39573932,62.67807299,128185.0
1983,RSUL4,2023-06-09,63.08697001,64.40128189,61.35402547,62.68780863,62.19129081,437879.0
1984,RSUL4,2023-06-12,62.18155517,63.13564823,61.49032448,62.20102645,61.49032448,121400.0
1985,RSUL4,2023-06-13,62.39573932,62.39573932,61.0716918,61.6071522,61.0716918,63288.0
1986,RSUL4,2023-06-14,61.61688784,61.91869279,61.56820962,61.80186507,61.82133636,171404.0
1987,RSUL4,2023-06-15,61.84080764,63.28168288,61.33455418,61.75318685,61.33455418,723202.0
1988,RSUL4,2023-06-16,61.34428982,62.16208388,61.32481854,61.47085319,62.10367002,138915.0
1989,RSUL4,2023-06-19,61.78239378,62.03552051,60.25389775,60.96459973,60.36098983,356962.0
1990,RSUL4,2023-06-20,60.39019676,61.2274621,60.36098983,60.59464527,61.2274621,261426.0
1991,RSUL4,2023-06-21,60.65305913,61.04248487,60.35125418,60.60438092,60.847772,255242.0
1992,RSUL4,2023-06-22,60.39019676,60.63358785,59.87420765,60.24416211,60.57517399,315623.0
1993,RSUL4,2023-06-23,60.27336904,60.74067993,59.89367894,60.23442646,60.16627696,259855.0
1994,RSUL4,2023-06-26,59.44583934,61.23719774,59.38742548,59.66975914,59.38742548,373898.0
1995,RSUL4,2023-06-27,60.53623141,60.53623141,58.40412548,58.87143637,58.41386112,338677.0
1996,RSUL4,2023-06-28,58.44306805,58.57936706,57.55712449,58.2288839,58.40412548,454588.0
1997,RSUL4,2023-06-29,61.29561161,61.29561161,57.58633142,58.31650469,58.40412548,611041.0
1998,RSUL4,2023-06-30,59.27059775,63.27194724,57.82972251,60.31231161,63.27194724,198260.0
1999,RSUL4,2023-07-03,62.34706111,63.15511952,60.51676012,61.39296804,60.83803636,321619.0
2000,RSUL4,2023-07-04,59.87420765,61.32481854,58.41386112,59.728173,61.32481854,674927.0
2001,RSUL4,2023-07-05,60.73094428,61.71424428,60.65305913,61.41243933,61.52926705,252350.0
2002,RSUL4,2023-07-06,61.53900269,62.07446309,60.36098983,61.33455418,60.36098983,239429.0
2003,RSUL4,2023-07-07,60.42913933,61.2274621,58.08284924,59.06614924,61.12037002,1268095.0
2004,RSUL4,2023-07-10,60.847772,61.12037002,60.847772,61.01327794,61.12037002,25068.0
2005,RSUL4,2023-07-11,61.25666903,61.32481854,61.25666903,61.28587596,61.32481854,12591.0
2006,RSUL4,2023-07-12,61.32481854,62.30811853,61.32481854,61.72397992,62.30811853,44381.0
2007,RSUL4,2023-07-13,62.77542942,63.16485516,62.24970467,62.56124526,62.24970467,134963.0
2008,RSUL4,2023-07-14,62.63913041,62.63913041,62.01604923,62.41521061,62.01604923,32055.0
2009,RSUL4,2023-07-17,62.01604923,62.38600368,62.01604923,62.28864724,62.30811853,63983.0
2010,RSUL4,2023-07-18,62.44441754,62.75595813,60.86724329,61.86027893,62.06472744,260540.0
2011,RSUL4,2023-07-19,61.90895715,62.04525616,60.81856507,61.49032448,62.04525616,284226.0
2012,RSUL4,2023-07-20,62.19129081,62.57098091,60.7796225,61.2274621,61.06195616,597514.0
2013,RSUL4,2023-07-21,61.40270368,61.47085319,59.49451755,60.32204725,60.06892052,576241.0
2014,RSUL4,2023-07-24,60.25389775,61.13984131,60.25389775,60.69200171,60.78935814,205736.0
2015,RSUL4,2023-07-25,60.94512844,61.23719774,60.37072547,60.81856507,61.13010567,143685.0
2016,RSUL4,2023-07-26,61.28587596,61.54873834,60.36098983,60.9353928,61.54873834,169009.0
2017,RSUL4,2023-07-27,60.847772,60.89645022,59.37768983,60.24416211,59.37768983,352732.0
2018,RSUL4,2023-07-28,59.85473636,59.87420765,58.41386112,59.22191954,59.87420765,225078.0
2019,RSUL4,2023-07-31,60.31231161,61.33455418,59.41663241,60.39019676,61.33455418,483866.0
2020,RSUL4,2023-08-01,61.30534725,61.30534725,59.38742548,60.02997795,59.58213835,832443.0
2021,RSUL4,2023-08-02,60.32204725,60.32204725,59.47504627,59.83526508,60.26363339,577801.0
2022,RSUL4,2023-08-03,60.11759874,60.51676012,59.93262151,60.26363339,59.97156409,315734.0
2023,RSUL4,2023-08-04,60.53623141,60.5557027,60.36098983,60.47781755,60.54596705,130467.0
2024,RSUL4,2023-08-07,60.36098983,60.73094428,60.36098983,60.5557027,60.73094428,80866.0
2025,RSUL4,2023-08-08,60.36098983,61.05222052,59.8839433,60.18574824,59.8839433,414255.0
2026,RSUL4,2023-08-09,59.87420765,59.9520928,58.85196508,59.37768983,58.85196508,317156.0
2027,RSUL4,2023-08-10,60.28310468,60.28310468,59.87420765,60.12733438,60.13707003,105005.0
2028,RSUL4,2023-08-11,60.3317829,60.3317829,59.07588488,59.59187399,59.58213835,416281.0
